ID	t24h	t30h	t36h	t48h	t72h
SAM23877_RS05080	8.636624621	8.781359714	8.451211112	8.344295908	7.238404739
SAM23877_RS05235	12.0764816	11.54254826	10.55458885	10.67683861	9.909893084
SAM23877_RS05260	9.451211112	8.214319121	8.693486957	9.483815777	8.17990909
SAM23877_RS05295	11.67463366	11.26561505	11.85330956	12.51963625	10.76983784
SAM23877_RS05305	12.19044202	10.65015421	12.04712391	10.66711154	9.661778098
SAM23877_RS05315	13.50556348	11.30606169	12.88683971	11.73174329	9.159871337
SAM23877_RS05420	10.08214904	9.769837844	9.243173983	9.177419538	7.714245518
SAM23877_RS05570	7.312882955	6.491853096	5.285402219	6.247927513	7.930737338
SAM23877_RS05605	10.24198315	10.25974326	8.906890596	8.357552005	8.326429487
SAM23877_RS05610	11.67860014	11.42469119	10.8008999	10.89784546	12.17336483
SAM23877_RS05865	9.52160044	8.438791853	7.54689446	7.807354922	7.266786541
SAM23877_RS05870	10.04848687	9.779719355	8.909893084	9.100662339	8.62935662
SAM23877_RS05880	12.05968245	11.92184094	11.033423	11.12863881	11.98334993
SAM23877_RS05885	10.87344411	10.79360331	10.24911345	10.31061278	9.503825738
SAM23877_RS05890	11.61792656	12.30919211	12.47065887	12.74945047	11.37829486
SAM23877_RS05895	11.31684718	11.57742883	11.59618976	11.14146856	11.62388149
SAM23877_RS06125	11.63026713	9.681238412	10.78299821	9.951284715	8.14974712
SAM23877_RS06315	8.836050355	8.764871591	8.475733431	9.036173613	7.894817763
SAM23877_RS06320	8.909893084	8.388017285	7.64385619	7.651051691	10.08746284
SAM23877_RS06365	8.471675214	8.257387843	7.459431619	6.658211483	4.459431619
SAM23877_RS06440	10.23361968	9.550746785	9.271463028	9.419960178	8.77478706
SAM23877_RS06450	8.129283017	7.584962501	6.339850003	6.321928095	4.906890596
SAM23877_RS06455	8.654636029	8.038918989	6.754887502	7.098032083	6.672425342
SAM23877_RS06465	7.73470962	7.741466986	6.686500527	6.807354922	5.459431619
SAM23877_RS06470	10.46658634	10.79360331	9.882643049	9.339850003	8.622051819
SAM23877_RS06535	8.930737338	9.753216749	9.82336724	9.603626345	10.15987134
SAM23877_RS06540	8.14974712	9.187352073	9.903881846	10.30720081	11.00140819
SAM23877_RS06580	12.98477446	12.04405253	10.69522829	11.25856603	11.97190275
SAM23877_RS06595	11.33817925	12.0970445	12.57553925	11.63571812	12.41415668
SAM23877_RS06600	11.83091128	11.79887677	12.13506795	11.84392105	12.62684976
SAM23877_RS06605	11.19414124	10.9432474	10.10066234	11.08081753	10.80170836
SAM23877_RS37140	13.13008787	12.74588437	12.53284291	13.6594385	14.67468883
SAM23877_RS06620	9.216745858	8.654636029	8.28077077	8.438791853	7.303780748
SAM23877_RS06625	11.35480034	10.75405237	10.41785251	10.3553511	10.73640193
SAM23877_RS06630	12.43671154	12.76570049	12.357552	12.8587581	13.00193591
SAM23877_RS06635	10.39660478	10.06877828	9.6794801	9.768184325	10.86882255
SAM23877_RS06655	11.30035256	10.88111396	10.79603961	11.42888355	13.63945377
SAM23877_RS06660	12.07313738	11.91960824	11.50481899	11.87305955	11.5526691
SAM23877_RS06670	7.787902559	8.290018847	8.665335917	8.550746785	8.87036472
SAM23877_RS06705	9.37286506	9.174925683	8.665335917	8.682994584	7.77478706
SAM23877_RS06715	9.601770788	9.475733431	8.854868383	8.577428828	9.30833903
SAM23877_RS06735	8.092757141	7.8008999	7.044394119	6.906890596	6.475733431
SAM23877_RS06740	9.330916878	8.906890596	7.820178962	7.876516947	7.781359714
SAM23877_RS06770	10.02097994	10.10459875	9.743151394	9.278449458	8.459431619
SAM23877_RS06775	10.31174832	9.829722735	9.499845887	8.826548487	9.97441459
SAM23877_RS06790	9.982993575	9.008428622	9	8.781359714	8.087462841
SAM23877_RS06810	13.68013972	14.46563017	14.28308835	13.93433589	16.47525845
SAM23877_RS06825	8.159871337	8.459431619	8.247927513	8.233619677	8.011227255
SAM23877_RS06830	9.366322214	9.440869168	8.483815777	7.982993575	6.700439718
SAM23877_RS06865	7.584962501	7.727920455	7.14974712	5.857980995	5.614709844
SAM23877_RS06885	8.055282436	7.636624621	7.965784285	7.312882955	7.189824559
SAM23877_RS06890	10.46147945	9.864186145	10.25148241	9.884170519	9.618385502
SAM23877_RS06895	10.32530546	9.99859043	10.56414949	9.982993575	11.07547915
SAM23877_RS06900	7.285402219	6.714245518	10.65731845	9.700439718	8.851749041
SAM23877_RS06905	7.209453366	6.754887502	10.54592977	9.784634846	11.20945337
SAM23877_RS06915	10.89708913	12.10558118	13.17523765	11.68606275	14.10509005
SAM23877_RS06970	12.98085361	7.108524457	6.022367813	7.199672345	6.491853096
SAM23877_RS06975	11.23481743	6.14974712	5	6.108524457	5.247927513
SAM23877_RS06985	9.890264277	7.383704292	6.523561956	5.754887502	6.672425342
SAM23877_RS06995	11.31344994	11.70994538	10.51175265	11.99929539	13.13635034
SAM23877_RS07005	12.24792751	12.38154295	13.62502386	12.94104761	14.1311335
SAM23877_RS07010	10.97656412	10.73216743	10.77807713	10.29920802	10.68737568
SAM23877_RS07015	9.964340868	9.984418459	9.54689446	8.912889336	8.686500527
SAM23877_RS07020	8.28077077	8.087462841	8.366322214	7.948367232	8.577428828
SAM23877_RS07030	9.131856961	9.159871337	8.330916878	7.209453366	6.087462841
SAM23877_RS07040	9.616548844	9.375039431	9.108524457	9.605479518	10.25266543
SAM23877_RS07045	13.813681	13.14895316	13.20701432	13.35741455	13.20487677
SAM23877_RS07050	12.5372184	11.75822321	11.6110248	12.00351791	13.23646272
SAM23877_RS07055	13.14051027	13.85632826	14.63520796	14.52356196	12.83289001
SAM23877_RS07060	8.238404739	6.491853096	7.199672345	8.741466986	6.569855608
SAM23877_RS07065	8.463524373	6.95419631	7.375039431	9.100662339	9.840777924
SAM23877_RS07080	8.997179481	8.30833903	8.285402219	9.167418146	12.033423
SAM23877_RS07085	9.497851837	8.357552005	7.965784285	9.903881846	9.299208018
SAM23877_RS07090	8.124121312	6.459431619	6.14974712	9.243173983	11.00070427
SAM23877_RS07100	13.01262454	12.3392933	11.68299458	11.70087316	10.30947635
SAM23877_RS07105	12.92944336	12.17461365	10.75070699	10.57364719	11.17866485
SAM23877_RS07110	13.76570049	12.51422091	11.46658634	11.88722062	12.05765334
SAM23877_RS07115	11.18920683	9.927777962	8.97441459	9.612868497	11.81898154
SAM23877_RS07140	9.124121312	9.394462695	8.584962501	8.092757141	7.491853096
SAM23877_RS07155	12.82932634	12.61148594	12.35011044	12.21067134	12.62159404
SAM23877_RS07165	10.76071995	10.58214198	10.18611424	9.603626345	11.04028972
SAM23877_RS07175	15.20926296	14.29634268	12.80332392	13.32263236	13.17554955
SAM23877_RS07180	10.10590851	9.769837844	9.758223215	9.804131021	9.960001932
SAM23877_RS07190	11.46250227	10.79928162	10.38370429	10.48280796	9.829722735
SAM23877_RS07205	13.45455634	13.4274438	12.92184094	12.34734454	11.18115226
SAM23877_RS07215	10.58777752	10.73386272	9.442943496	9.951284715	9.214319121
SAM23877_RS07220	12.28886607	11.41362793	10.79766153	12.25944905	13.30520676
SAM23877_RS07235	9.273795599	8.640244936	8.285402219	8.266786541	7.700439718
SAM23877_RS07250	14.03187348	14.24339716	13.32544601	12.43853198	12.25502857
SAM23877_RS07255	10.61930296	7.022367813	8.118941073	7.754887502	8
SAM23877_RS07260	12.94123105	8.965784285	10.39339046	9.975847968	11.35645197
SAM23877_RS07265	8.290018847	7.95419631	6.930737338	6.882643049	6.672425342
SAM23877_RS07270	10.51668495	10.31854281	9.54689446	10.02375435	8.714245518
SAM23877_RS07275	10.07012094	9.592457037	8.873444113	8.854868383	7.569855608
SAM23877_RS07280	11.43879185	11.54834029	10.91438513	9.93516505	9.531381461
SAM23877_RS07290	11.95927751	12.56414949	12.14338321	12.15450169	13.23601419
SAM23877_RS07300	13.12023788	12.40673648	12.10721708	12.03066714	12.19690944
SAM23877_RS07365	6.714245518	7.087462841	8.129283017	9.77478706	10.70649602
SAM23877_RS07370	9.082149041	8.54303182	8.997179481	10.02513956	9.941047606
SAM23877_RS07395	9.663558104	9.603626345	9.686500527	9.805743872	9.826548487
SAM23877_RS07450	8.95419631	9.098032083	8.707359132	8.807354922	8.049848549
SAM23877_RS07455	8.906890596	8.77807713	8.409390936	9.019590728	8.707359132
SAM23877_RS07465	9.202123824	9.479780264	8.321928095	7.491853096	6.95419631
SAM23877_RS07470	8.909893084	8.915879379	8.539158811	8.64385619	9.984418459
SAM23877_RS07495	10.39124359	11.3376219	10.65553072	8.434628228	11.12541347
SAM23877_RS07500	10.37937837	11.22098285	10.45738088	8.700439718	8.45532722
SAM23877_RS07505	11.54254826	10.51274046	11.91774501	9.609178738	7.754887502
SAM23877_RS07520	11.59152235	11.215533	11.78053977	10.57742883	11.74020239
SAM23877_RS07540	7.459431619	10.64745843	8.864186145	8.82336724	9.438791853
SAM23877_RS07570	9.197216693	9.859534786	8.97441459	8.714245518	9.124121312
SAM23877_RS07580	6.658211483	9.301496195	8.471675214	8.912889336	10.18239435
SAM23877_RS07590	7.665335917	10.85408918	8.503825738	7.960001932	10.53430288
SAM23877_RS07640	12.50009495	12.93957921	12.03273453	10.72621816	11.72877085
SAM23877_RS07660	11.85057755	12.0406322	11.46862404	12.13153547	11.09011242
SAM23877_RS07665	11.68868742	11.34040649	10.89784546	11.77766628	13.88034881
SAM23877_RS07670	8.700439718	9.48984796	9.592457037	9.126704473	8.826548487
SAM23877_RS07675	9.142107057	7.781359714	6.209453366	6.845490051	6.845490051
SAM23877_RS07680	14.89434411	13.58590145	12.48431942	12.91886324	11.78217919
SAM23877_RS07685	13.86428289	12.38963134	11.37395266	12.03617361	11.45378506
SAM23877_RS07715	8.614709844	8.832890014	8.164906927	7.483815777	6.22881869
SAM23877_RS07735	4.523561956	5.044394119	9.076815597	6.894817763	4.807354922
SAM23877_RS07750	6.523561956	6.807354922	8.611024797	4.247927513	6.894817763
SAM23877_RS07790	7.813781191	7.276124405	7.876516947	8.339850003	6.64385619
SAM23877_RS07835	11.61194694	11.36139553	11.99647349	12.08214904	11.39767463
SAM23877_RS07860	9.640244936	9.805743872	10.14465824	9.609178738	8.614709844
SAM23877_RS07865	11.39660478	11.12476754	11.41679753	11.08679969	11.72706956
SAM23877_RS07880	11.19537221	11.90124403	12.63026713	14.4540422	13.21856324
SAM23877_RS07885	9.786269628	10.39981196	7.499845887	7.607330314	7.22881869
SAM23877_RS07895	11.77930897	12.0950673	12.57553925	12.9505559	12.68606275
SAM23877_RS07900	12.53649007	12.77169579	13.25606123	13.6022349	13.24391776
SAM23877_RS07905	10.8008999	12.18518517	13.1424262	12.91045536	14.48834228
SAM23877_RS07910	10.63117706	11.75739001	12.40726776	12.62570884	11.99894295
SAM23877_RS07915	12.64745843	13.5173003	14.645771	15.83155467	14.79416199
SAM23877_RS07930	12.72749507	11.37014248	10.87958325	10.94104761	10.25266543
SAM23877_RS07945	11.40886044	11.75363462	12.26795708	11.85291959	11.51963625
SAM23877_RS07955	8.426264755	8.915879379	9.575539247	10.15101654	8.442943496
SAM23877_RS07965	11.92407019	13.74682919	13.77643303	12.60455323	11.13121391
SAM23877_RS07970	11.49984589	12.60339453	12.96560394	12.66977089	12.94123105
SAM23877_RS07975	10.86031105	12.31995431	12.56771846	13.01785233	13.55242895
SAM23877_RS07980	11.15481811	12.78932986	13.03376711	13.74630437	12.18332522
SAM23877_RS07995	11.68299458	10.99081308	11.72749507	11.3140167	10.40939094
SAM23877_RS08000	9.667111542	9.727920455	9.199672345	8.392317423	7.64385619
SAM23877_RS08005	10.87344411	10.34318572	10.22400167	9.64385619	8.483815777
SAM23877_RS08030	7.6794801	7.554588852	7.129283017	7.383704292	6.727920455
SAM23877_RS08060	10.05120894	10.08878824	10.99223026	11.93258387	12.01052811
SAM23877_RS08140	10.14720492	9.71596199	9.533329732	9.636624621	9.095397023
SAM23877_RS08185	9.426264755	8.885696373	8.022367813	8.344295908	10.86263736
SAM23877_RS08255	8.344295908	7.098032083	10.09803208	8.668884984	9.881113961
SAM23877_RS08260	7.118941073	6.62935662	8.233619677	6.977279923	7.62935662
SAM23877_RS08410	9.958552715	10.02928723	10.93221475	11.4325419	10.29001885
SAM23877_RS08420	9.878050913	9.839203788	10.71166697	9.894817763	9.599912842
SAM23877_RS08455	11.78012962	11.38801729	11.10721708	10.98513037	11.68868742
SAM23877_RS08460	10.54496443	10.45840661	10.10983065	10.033423	10.50779464
SAM23877_RS08465	11.33539035	10.52454172	10.55554777	10.89330153	10.92332749
SAM23877_RS08525	13.03376711	12.67793982	12.57884439	12.88455213	13.45519877
SAM23877_RS08530	15.23522893	10.93295289	8.344295908	8.330916878	12.51224664
SAM23877_RS08540	10.80976813	11.08945048	11.15860969	12.0657527	11.19844504
SAM23877_RS08545	13.11439305	11.58543205	10.16364968	10.95637616	12.84117119
SAM23877_RS08550	12.01889562	10.74062404	10.10459875	11.35590164	10.75822321
SAM23877_RS08595	11.51422091	11.77272695	11.16364968	10.04439412	10.00281502
SAM23877_RS08600	10.09803208	10.42836017	10.83209885	9.792790294	9.038918989
SAM23877_RS08605	9.197216693	9.259743264	9.616548844	8.622051819	8.438791853
SAM23877_RS08635	9.238404739	9.21916852	9.980139578	9.903881846	10.21431912
SAM23877_RS08640	9.126704473	8.491853096	7.622051819	7.658211483	7.562242424
SAM23877_RS08685	10.83130724	10.97584797	11.86069903	12.34179677	12.04916787
SAM23877_RS08690	9.554588852	9.571752644	10.58683979	11.18549492	11.34983409
SAM23877_RS08695	11.10131915	10.98085361	10.85330956	10.53332973	10.87958325
SAM23877_RS08700	7.247927513	7.434628228	7.357552005	6.14974712	6.303780748
SAM23877_RS08710	6.894817763	6.672425342	7.73470962	8.033423002	7.876516947
SAM23877_RS08715	6.845490051	6.392317423	6.882643049	7.539158811	6.781359714
SAM23877_RS08745	11.22941969	10.73216743	10.78790256	10.38801729	12.27990072
SAM23877_RS08750	9.584962501	9.273795599	10.35645197	11.39660478	10.91662592
SAM23877_RS08780	12.63888838	11.5526691	11.00982862	12.09737377	10.75405237
SAM23877_RS08850	10.4655664	9.845490051	8.665335917	8.54689446	8.804131021
SAM23877_RS08915	11.96974625	11.31344994	11.39874369	11.58683979	12.06541613
SAM23877_RS08940	11.39124359	10.80976813	7.592457037	6.64385619	5.392317423
SAM23877_RS08970	11.23959853	10.99859043	10.21310422	10.09671515	8.611024797
SAM23877_RS09285	10.60455323	10.14847658	10.34318572	10.00422047	9.970105891
SAM23877_RS09305	11.40832974	10.99788513	12.85992297	12.90519895	12.22520744
SAM23877_RS09310	12.03994716	10.91363743	12.13185696	13.54713553	12.91345044
SAM23877_RS09315	11.63072216	10.55554777	11.70390357	12.97010589	12.27641524
SAM23877_RS09320	10.03617361	9.252665432	10.41785251	11.45481335	11.86069903
SAM23877_RS09325	11.96108789	11.36577564	12.64295422	13.51187617	12.42022342
SAM23877_RS09330	12.83387836	11.95963976	13.48356389	14.94722599	14.04379629
SAM23877_RS09335	11.04165915	11.67463366	12.14402087	11.96361862	10.90538701
SAM23877_RS09345	10.49085088	10.55554777	9.856425529	9.364134655	9.86727874
SAM23877_RS09350	9.856425529	9.259743264	8.965784285	9.060695932	9.103287808
SAM23877_RS09355	12.26356264	12.07280253	11.64565843	12.00527366	12.03066714
SAM23877_RS09370	13.53052826	13.57636624	13.07062412	12.00211178	12.6332223
SAM23877_RS09380	11.54834029	11.43514934	11.4604559	12.73280339	11.84509796
SAM23877_RS09395	9.562242424	9.517669388	9.310612782	10.01122726	8.84862294
SAM23877_RS09445	11.48431942	11.38100211	12.50581155	12.49235395	11.93369065
SAM23877_RS09450	12.36768776	12.64205169	12.55698496	11.79887677	11.92109709
SAM23877_RS09455	12.09209641	12.09077405	12.37558251	12.83289001	12.14082977
SAM23877_RS09460	10.98726401	10.98299357	11.30035256	12.45891921	12.34762137
SAM23877_RS09465	13.87977468	13.77324225	14.41811614	15.21238239	14.7077905
SAM23877_RS09475	10.29691621	10.30035256	10.49485558	10.20945337	10.90312868
SAM23877_RS09480	9.761551232	9.531381461	9.396604781	9.398743692	9.843921051
SAM23877_RS09485	10.2467406	9.967226259	10.07815081	9.955649908	11.033423
SAM23877_RS09535	10.25974326	9.59058705	9.562242424	9.73978061	10.60733031
SAM23877_RS09570	10.06608919	9.430452552	9.562242424	11.05324713	11.89254282
SAM23877_RS09740	8.873444113	8.87958325	8.761551232	8.758223215	9.724513853
SAM23877_RS09745	9.164906927	8.159871337	8.491853096	10.31061278	11.75028827
SAM23877_RS09755	10.509775	10.07146236	8.820178962	8.654636029	9.693486957
SAM23877_RS09780	12.30748545	11.57790084	11.31174832	11.62342429	11.03066714
SAM23877_RS09785	10.48482289	10.06608919	9.951284715	9.802516365	10.03891899
SAM23877_RS09790	9.216745858	9.167418146	8.139551352	7.312882955	7.539158811
SAM23877_RS09830	12.10689005	12.43306377	12.16302064	11.04439412	11.48934624
SAM23877_RS09845	9.036173613	10.40726776	12.43540982	13.41071633	14.01663421
SAM23877_RS09905	11.24970606	11.99929539	11.83209885	11.95637616	12.17180229
SAM23877_RS09910	9.917372079	11.86805085	11.40301202	12.36029843	13.93792548
SAM23877_RS09915	6.375039431	5.614709844	2	3.906890596	6.321928095
SAM23877_RS09960	9.857980995	9.636624621	8.882643049	8.751544059	8.400879436
SAM23877_RS09965	10.40939094	9.769837844	9.103287808	9.54303182	11.31061278
SAM23877_RS09970	11.75780667	11.66755511	11.3553511	10.65731845	11.44553222
SAM23877_RS09990	9.174925683	8.417852515	8.392317423	8.894817763	9.016808288
SAM23877_RS10000	10.01402047	10.06474276	10.92035286	11.08945048	11.37612539
SAM23877_RS10010	9.930737338	9.675957033	9.139551352	8.77478706	10.15101654
SAM23877_RS10020	9.818582177	9.505811554	9.405141463	9.25502857	9.556506055
SAM23877_RS10025	9.315149562	9.005624549	8.794415866	8.836050355	10.07547915
SAM23877_RS10035	9.194756854	8.599912842	8.442943496	8.912889336	10.78217919
SAM23877_RS10040	9.292321633	8.948367232	8.758223215	8.764871591	10.87728413
SAM23877_RS10045	9.820178962	9.583082768	9.22881869	9.346513733	10.51569984
SAM23877_RS10060	9.964340868	9.103287808	8.087462841	7.876516947	9.076815597
SAM23877_RS10075	10.11634396	10.12153352	10.17492568	9.493855449	9.136991112
SAM23877_RS10080	10.39016896	10.22400167	10.01680829	9.285402219	10.33539035
SAM23877_RS10090	12.52380696	11.88683971	11.37829486	11.78790256	12.6682202
SAM23877_RS10115	9.605479518	9.221587121	9.392317423	9.14974712	10.01959073
SAM23877_RS10135	10.20089861	9.625708843	9.558420713	9.652844973	11.11178774
SAM23877_RS10160	12.05697634	11.45789384	10.75321675	10.90011206	11.34318572
SAM23877_RS10170	13.1552926	12.77787172	13.33887563	13.32979634	14.04123134
SAM23877_RS10175	12.72003045	12.30349538	13.04183024	13.31061278	16.02466355
SAM23877_RS10180	11.06272077	10.89405985	10.6110248	10.02375435	13.05680704
SAM23877_RS10185	10.27146303	9.797661526	8.988684687	8.417852515	8.426264755
SAM23877_RS10190	13.39807562	12.80836092	12.40673648	12.41124615	11.8963324
SAM23877_RS10200	11.55170826	11.01262454	10.94104761	11.04028972	10.84470576
SAM23877_RS10205	11.30833903	11.02652344	10.906139	10.15608308	10.16364968
SAM23877_RS10210	11.72408746	11.09011242	10.26209485	9.984418459	8.724513853
SAM23877_RS10220	13.12589773	12.93553341	12.14082977	11.26268214	11.5674808
SAM23877_RS10225	11.04712391	10.67242534	10.10590851	9.497851837	8.611024797
SAM23877_RS10250	11.59058705	11.87382857	11.81938079	11.9505559	11.26737193
SAM23877_RS10265	12.77148947	13.40301202	14.37693932	13.77581601	12.8419574
SAM23877_RS10270	10.40407714	10.08480839	10.03617361	9.62935662	9.620219826
SAM23877_RS10295	10.3553511	10.60547952	9.988684687	8.262094845	8.864186145
SAM23877_RS10305	10.01541505	9.211888295	10.18735207	10.25856603	11.47421294
SAM23877_RS10310	8.103287808	7.451211112	7.499845887	7.321928095	6.754887502
SAM23877_RS10315	10.92035286	10.4419067	10.73470962	10.20089861	10.91438513
SAM23877_RS10330	8.672425342	8.903881846	6.523561956	6.894817763	5.169925001
SAM23877_RS10340	8.54689446	8.851749041	6.754887502	7.400879436	6.62935662
SAM23877_RS10350	9.379378367	8.344295908	7.409390936	7.515699838	9.328674927
SAM23877_RS10370	12.94489504	11.86147468	12.14082977	12.50903269	12.79948401
SAM23877_RS10400	9.691743519	10.07948478	10.23840474	8.8008999	7.839203788
SAM23877_RS10405	10.91587938	10.76901132	10.48984796	9.098032083	10.27146303
SAM23877_RS10410	9.627533884	9.651051691	10.2227949	10.08347933	8.982993575
SAM23877_RS10425	13.00263924	12.67264633	12.52796564	12.07079181	10.9893945
SAM23877_RS10440	11.1842555	10.47775827	10.73047014	10.5526691	10.6183855
SAM23877_RS10445	8.554588852	7.982993575	6.930737338	7.383704292	6.584962501
SAM23877_RS10450	11.027906	9.424166289	8.044394119	8.46760555	9.159871337
SAM23877_RS10455	11.03479896	10.78953364	10.53138146	9.306061689	8.596189756
SAM23877_RS10480	10.43983088	10.25384748	9.851749041	8.906890596	10.05799172
SAM23877_RS10495	10.31854281	10.48482289	10.76487159	9.705632387	10.06339508
SAM23877_RS10530	11.18735207	10.51471405	10.73216743	10.84784036	9.159871337
SAM23877_RS10540	13.0454184	12.375311	11.62616532	12.12573633	13.27423254
SAM23877_RS10545	12.8963324	11.96181141	11.40141288	11.97620609	13.42626475
SAM23877_RS10550	13.54049133	12.73025784	12.29576893	12.29347165	13.11227659
SAM23877_RS10555	10.14593215	10.62388149	11.62021983	11.13891172	10.23361968
SAM23877_RS10560	7.971543554	7.169925001	6.303780748	6.686500527	6.392317423
SAM23877_RS10565	12.63344937	12.50605959	12.26737193	11.72366094	12.2179577
SAM23877_RS10575	14.16081685	13.39285404	13.16144685	13.24376903	13.77930897
SAM23877_RS10585	11.29691621	10.43358544	10.34651373	10.4918531	9.413627929
SAM23877_RS10600	13.6128685	13.30106744	13.66977089	13.68178745	13.56759963
SAM23877_RS10605	12.31118066	12.27932039	12.18177344	12.60547952	10.38154295
SAM23877_RS10615	8.810571635	8.754887502	8.761551232	8.73809226	8.335390355
SAM23877_RS10630	9.290018847	9.172427509	9.912889336	11.78626963	11.74986943
SAM23877_RS10635	12.23002044	12.39097501	12.9272224	14.6188443	13.53588285
SAM23877_RS10640	11.85330956	10.86573327	10.72792045	11.31967212	10.23122118
SAM23877_RS10655	10.93957921	12.31769525	13.35507575	11.65553072	10.01959073
SAM23877_RS10670	10.33203655	10.44397954	9.294620749	8.851749041	7.523561956
SAM23877_RS10690	12.6956633	12.942881	12.51298731	11.86457308	11.01122726
SAM23877_RS10695	13.94754563	14.09407769	13.95819018	14.07012094	14.15742589
SAM23877_RS10755	10.52649924	10.78381676	10.90839262	10.4767462	10.48582931
SAM23877_RS10770	13.95000904	14.15165083	13.94333898	13.98744167	14.31167737
SAM23877_RS10775	11.52845411	12.01889562	11.9068906	10.77889848	10.97871046
SAM23877_RS10780	12.77334529	10.72109919	11.40087944	13.35851385	13.77437527
SAM23877_RS10955	12.00737773	12.83031713	12.05799172	13.51101135	13.48293397
SAM23877_RS11005	8.741466986	8.614709844	8.77478706	9.37286506	8.596189756
SAM23877_RS11030	11.68650053	11.18797059	10.94178124	10.79116289	10.56510208
SAM23877_RS11165	10.25856603	10.36959735	9.985841937	9	9.400879436
SAM23877_RS11220	7.348728154	7.044394119	6.62935662	5.882643049	5.426264755
SAM23877_RS11240	10.57837269	10.52845411	9.355351096	7.754887502	6.303780748
SAM23877_RS11365	9.269126679	9.562242424	9.891783703	9.616548844	7.531381461
SAM23877_RS11420	9.558420713	9.763212367	9.366322214	9.579315938	10.2227949
SAM23877_RS11435	8.144658243	8.550746785	9.724513853	9.008428622	9.753216749
SAM23877_RS11445	9.5980525	9.442943496	10.906139	10.52943055	11.74819285
SAM23877_RS11455	9.002815016	8.721099189	8.73470962	9.688250309	9.86727874
SAM23877_RS11465	10.72109919	10.3376219	10.82495874	12.47167521	12.27000325
SAM23877_RS11475	11.67463366	11.16427844	11.3586512	12.14465824	11.2227949
SAM23877_RS11480	14.76735685	14.98486345	14.5569251	13.36345036	13.29791932
SAM23877_RS11485	10.74986943	11.30663136	12.05866825	12.92407019	13.80715364
SAM23877_RS11535	9.743151394	9.531381461	9.787902559	9.451211112	8.839203788
SAM23877_RS11560	10.71080643	10.8963324	10.66888498	9.840777924	10.09539702
SAM23877_RS11565	12.61608931	11.96036401	11.4419067	12.39392668	11.42678889
SAM23877_RS11570	13.62033439	12.84117119	12.32192809	13.44385008	12.65553072
SAM23877_RS11575	14.65776504	14.10164745	13.59105477	14.03540053	13.11536884
SAM23877_RS11580	13.54821986	12.84274318	12.47370575	13.75112558	11.55937709
SAM23877_RS11585	8.471675214	8.442943496	9.640244936	10.14210706	10.07948478
SAM23877_RS11625	8.761551232	8.499845887	6.741466986	8.113742166	7.426264755
SAM23877_RS11630	6.672425342	7.055282436	6.247927513	5.169925001	6.409390936
SAM23877_RS11815	4.459431619	5.169925001	5.247927513	4.95419631	4.459431619
SAM23877_RS11850	10.86263736	10.94544384	10.28540222	9.733015322	9.463524373
SAM23877_RS11855	9.59058705	8.741466986	8.103287808	9.385862401	10.34429591
SAM23877_RS11860	8.891783703	8.447083226	7.95419631	8.982993575	9.864186145
SAM23877_RS11885	8.303780748	8.903881846	9.8008999	10.88417052	9.909893084
SAM23877_RS11890	6.965784285	6.375039431	5.882643049	8.751544059	9.829722735
SAM23877_RS11990	14.76424961	8.361943774	8.64385619	8.54303182	8.918863237
SAM23877_RS12000	10.72280753	10.06877828	9.601770788	10.12928302	10.04712391
SAM23877_RS12030	13.85895231	13.10639936	12.21765483	12.81918118	13.63481105
SAM23877_RS12040	5.247927513	3.459431619	1.584962501	8.857980995	7.21916852
SAM23877_RS12045	5.357552005	4.321928095	3.584962501	9.079484784	7.339850003
SAM23877_RS12050	11.35424938	11.84784036	11.90914305	10.97799537	12.11471839
SAM23877_RS12055	11.37395266	11.1401907	10.66088727	10.22641219	10.94397991
SAM23877_RS12060	10.56890615	10.90086681	9.903881846	8.764871591	11.70735913
SAM23877_RS12135	5.491853096	6.845490051	7.483815777	8.413627929	6.614709844
SAM23877_RS12140	10.47978026	9.419960178	9.828136484	11.10590851	12.84156435
SAM23877_RS12165	10.6794801	10.61194694	11.04302728	10.40407714	10.55650605
SAM23877_RS12180	9.335390355	9.957102042	9.818582177	8.503825738	6.807354922
SAM23877_RS12185	12.41679753	11.73893668	11.31174832	10.98726401	11.30663136
SAM23877_RS12205	8.820178962	8.233619677	7.942514505	7.826548487	7.599912842
SAM23877_RS12210	9.995767151	9.663558104	9.682994584	9.154818109	8.257387843
SAM23877_RS12230	9.577428828	9.567956075	9.011227255	7.707359132	7.209453366
SAM23877_RS12235	11.10328781	10.91438513	9.965784285	8.438791853	11.59618976
SAM23877_RS12240	12.93534924	12.88569637	12.37991982	11.43358544	12.35287105
SAM23877_RS12245	12.88569637	12.82892983	12.59105477	11.6110248	12.71080643
SAM23877_RS12250	6.375039431	6.658211483	5.832890014	4	5.392317423
SAM23877_RS12255	10.66533592	11.02444712	10.25148241	8.951284715	9.250298418
SAM23877_RS12260	9.189824559	8.682994584	8.247927513	8.95419631	9.837627933
SAM23877_RS12270	8.854868383	8.209453366	7.554588852	8.442943496	8.64385619
SAM23877_RS12275	12.31995431	11.72792045	11.70865284	12.09934781	12.98192399
SAM23877_RS12280	15.67623258	15.04750738	13.99938348	14.2137118	16.3303217
SAM23877_RS12315	9.221587121	8.945443836	9.199672345	9.405141463	9.495855027
SAM23877_RS12325	13.00965369	12.37937837	11.1401907	11.65999589	11.76901132
